Sample_name,Longtitude,Latitude,SampleType
RIS,174.46263,-80.65767,RIS
ERR3589553,79.0604,78.9354,Epi
ERR3589554,91.8557,78.2518,Epi
ERR3589555,117.1545,77.9028,Epi
ERR3589556,-168.1333,73.3833,Epi
ERR3589557,-154.9101,71.8895,Epi
ERR3589558,-85.7806,74.2987,Epi
ERR3589559,-71.892,72.4693,Epi
ERR3589560,-53.5127,70.9433,Meso
ERR3589561,-53.5989,70.9574,Epi
ERR3589562,-52.996,64.7,Meso
ERR3589563,-55.9846,61.5754,Meso
ERR3589564,0.3964,67.161,Epi
ERR3589565,44.102,72.5432,Epi
ERR3589566,79.4201,78.9564,Epi
ERR3589567,66.4827,79.2026,Epi
ERR3589568,76.1478,74.8023,Epi
ERR3589569,116.6556,77.9668,Epi
ERR3589570,116.4105,78.0391,Meso
ERR3589571,-168.8142,73.3275,Epi
ERR3589572,-85.6208,74.3386,Epi
ERR3589573,-85.6552,74.305,Meso
ERR3589574,-71.8814,72.4456,Meso
ERR3589575,-51.5086,69.1136,Epi
ERR3589576,-53.0106,64.7127,Epi
ERR3589577,66.3435,79.2233,Epi
ERR3589578,76.2096,74.8283,Epi
ERR3589579,91.6084,78.3555,Epi
ERR3589580,160.9383,71.5955,Epi
ERR3589581,174.9916,71.0704,Epi
ERR3589582,-55.9869,61.5427,Epi
ERR3589583,-16.7943,54.5451,Epi
ERR3589584,-16.8345,54.5742,Meso
ERR3589585,0.2177,67.1675,Meso
ERR3589586,1.3918,76.1825,Epi
ERR3589587,44.0552,72.5199,Epi
ERR3589588,44.0775,72.5128,Epi
ERR3589589,66.2954,79.3349,Epi
ERR3589590,73.2057,77.1604,Epi
ERR3589591,-16.9377,54.5305,Epi
ERR3589592,0.2355,67.141,Epi
ERR3589593,1.3648,76.1246,Meso
MSP_1,2.448,40.832,Bathy
MSP_10,-124.49,15.91,Bathy
MSP_11,-179.52,-25.49,Bathy
MSP_12,-150.35,21.06,Bathy
MSP_13,-170.77,-5.74,Bathy
MSP_14,-170.77,-5.74,Bathy
MSP_15,-27.33,-3.03,Bathy
MSP_16,135.19,-39.23,Bathy
MSP_17,110.18,-31.16,Bathy
MSP_18,103.31,-30.33,Bathy
MSP_19,150.41,-38.64,Bathy
MSP_2,-17.26,32.08,Bathy
MSP_20,82.62,-29.81,Bathy
MSP_21,82.62,-29.81,Bathy
MSP_22,92.99,-29.65,Bathy
MSP_23,92.99,-29.65,Bathy
MSP_24,63.25,-27.98,Bathy
MSP_25,63.25,-27.98,Bathy
MSP_26,39.89,-33.55,Bathy
MSP_27,-11.8,-28.62,Bathy
MSP_28,-21.43,-26.91,Bathy
MSP_29,6.84,-31.81,Bathy
MSP_3,-17.26,32.08,Bathy
MSP_30,12.77,-32.81,Bathy
MSP_31,-36.95,-22.97,Bathy
MSP_32,-36.95,-22.97,Bathy
MSP_33,-33.41,-15.83,Bathy
MSP_34,-33.41,-15.83,Bathy
MSP_35,-30.19,-9.12,Bathy
MSP_36,-30.19,-9.12,Bathy
MSP_37,-26,14.52,Bathy
MSP_38,-27.33,-3.03,Bathy
MSP_39,-26,14.52,Bathy
MSP_4,-99.25,10.09,Bathy
MSP_40,-26,7.33,Bathy
MSP_41,-26,7.33,Bathy
MSP_42,-23.45,21.51,Bathy
MSP_43,-23.45,21.51,Bathy
MSP_5,-52.63,20,Bathy
MSP_6,-99.25,10.09,Bathy
MSP_7,-108.06,12,Bathy
